What I am about to write is going to make some people mad; so let it be so. The comments are going to be a fun read as some try,"People have said that they have told me this but I just don’t see it. Sure, I can be an ass but…
I’m","I can’t stand it when you talk about what happened in your past.
I have nothing to be ashamed of.
And I’m not","I feel no remorse for any of my actions.
I have found that I have lost all sense of shame or guilt.
I feel I",I am not a people pleaser and don’t always care about how I come across as long as I’m comfortable and true to who I believe I,"So don’t take this the wrong way.
It’s been quite a while since I felt the need to explain myself, to justify my thoughts,","I don’t care if people disagree with me.
I don’t care if people don’t like me.
I only care that I","I do whatever I want, whenever I want, how I want. I’m selfish, a bad friend, and I’m always in a great","I am more mature than my friends because I know my rights.
If someone upsets me, I will never let them near me again.
I","In other words, I am not “in-tune” with other peoples’ emotions. I was asked a few times today whether or not","I have a lot of things to do after school and no time to do them.
My grades haven’t been too good lately.
Some","At least, I try not to.
Everyone is entitled to their opinion but when that opinion goes against who you are, your history, your struggles",I don’t care about the feelings of others and don’t give a crap how they feel. I don’t care about their feelings and no,"I have only my own welfare in mind.
I don’t care what others do.
I don’t consider what is right for others","Hiding the darkest parts of me in plain sight.
And I won’t be the next notch on your bedpost.
Fake it","I don’t care about your feelings either.
Too bad, I’m really not going to try to stop my mouth. If this upset"
"I say what I think to people in an unkind way.
I am disliked by most of the people I know.
Feeling alone is","I tend to enjoy gossiping about others.
I’m selfish and self-centered.
I think anger is the only way to","I don’t think about what I do or say and just do or say it in the heat of the moment.
I never listen to what people say","I spend too much time on the Internet.
I’m irresponsible with my money.
I can be easily distracted.
I don","I’m mean to people when I get mad.
If someone’s doing something I don’t like, I try to make them stop.
","I sometimes say things that I later regret.
People often tell me that I hurt their feelings.
I say things to others that are humiliating","I have a poor self-image.
I have a difficult time being honest.
My problems are those of a normal, successful parent.
I feel","I feel good when other people fail.
I am often quick to anger, and I find it difficult to calm down.
This post deals with some","I like to see them struggle and take it as a challenge to one-up them.
I constantly try to put people down in order to convince myself","I talk poorly about other people behind their backs.
I make light of the problems of others.
I make fun of others in order to make","I feel no sense of remorse when someone’s feelings are hurt by my words.
I see no good in helping others.
But you want","It is not very satisfying to be nice to people.
I am easily upset by negative events.
Many of the people in my life seem irrit","I only care about my own needs and don’t consider the feelings of others very much.
I don’t like it when people get emotional.","There’s a small number of people I can always count on to agree with me.
In some situations, I purposely push the limits on the","I like things to be awkward.
I like to see people uncomfortable–sometimes I even create the awkwardness.
If you","I am a know-it-all and am unwilling to admit I’m wrong.
I’m not interested in anyone else’s experiences except"
"I am easily bored when with others.
When I am with others, I feel lonely and alone.
When around others, I have to work","I like to be alone.
I find myself wanting to yell at people all the time.
I often have a lot of unpleasant thoughts.","I enjoy arguing unnecessarily about unimportant topics.
I enjoy arguing about important topics.
I enjoy offending others.
I’m always",Narcissism is a personality disorder that is defined by an excessive fascination with oneself and one’s physical appearance. People who suffer,"This doesn’t fit me, but it works well for my personality.
Most psychologists agree that there is no set limit to how many","I like to take revenge on others by saying untrue things about them.
I don’t treat other people with respect.
I would say that","I’m sarcastic and mean when I answer telephones.
I am very judgmental of others.
I frequently put myself down and then","I like to argue a lot with people.
People complain I’m too argumentative.
People complain that I start arguments.
","I enjoy being a “nobody’s best friend.”
I always choose the more difficult option (within reason).
My attitude is often negative","I enjoy making fun of someone else.
Other’s feelings and opinions don’t affect me.
If you don’t believe your score, you","I enjoy making fun of people.
I enjoy watching or performing cruelty in any and/all forms.
I enjoy gossiping and spreading","I enjoy causing emotional pain to others.
I enjoy creating conflict and disagreement with others.
I take pleasure in proving others to be incorrect","When I’m upset with someone, I can be mean and even cruel and aggressive.
I can hurt people without realizing it.
","I enjoy causing conflict and trouble in the lives of others.
I get satisfaction from hurting other people’s feelings.
I go around looking for arguments","I enjoy starting arguments.
I can be irritating, annoying, or provoking without realizing it.
I can quickly tell if others do","I enjoy being bossy to others.
I have little sympathy and or empathy for others.
I take advantage of people.
I’"
"I like to upset people by arguing with them.
I seek out arguments even where they do not exist.
I enjoy embarrassing others.","I don’t care about what others think of me.
I often engage in cruel teasing and ridiculing.
I gossip about","I get very excited when I tell someone something that upsets him or her.
Other than the two-word statement “I’m not crazy”","I see myself as a kind and caring person.
I enjoy being helpful to others.
I think of myself as a kind and caring person.","I enjoy teasing people and making them uncomfortable.
I enjoy saying embarrassing things to another person.
I think that my mean words","I sometimes feel a loss of control.
I enjoy doing stupid things.
I don’t feel sad after someone dies.
I look like an id","I get upset and argue easily.
My way of asserting myself involves me being mean to people in order to prove I’m stronger.
","If others are being insulting, I do not care and I will not let it bother me.
I do not have difficulty ignoring insults","I like to push others’ buttons.
1. To what extent would you say that you are easily offended by others’ attitudes or opinions?
","I use verbal attacks as a way to control someone else.
I have little empathy and sympathy for other people.
I am usually dislik","I like to make up stories about others.
I like to put people down in various ways.
I like to talk about others behind their back.
","People tell me I’m scary and say that I’m too violent.
I’m easily frustrated by others.
If I","I like to humiliate and belittle people.
I will argue for the sake of arguing.
I like to be in power positions over others","I like to bully and intimidate others.
I like to put people down.
I have a sense of superiority.
I have","I like to bring people down.
Sometimes I feel like hurting myself.
I’m irritable and angry a lot.
I hate","I sometimes act like I’m in a gang to scare others.
I enjoy watching people get upset.
I enjoy yelling and arguing"
"I am happy knowing that other people suffer.
I use other people to my own advantage.
I am willing to destroy the reputations of others.","I do the same things over and over and can’t understand why my result is always the same.
I get angry about things that only make sense to","I like to get into arguments with just about everyone I meet.
I am always ready to start a fight.
I love to tease others and get","I often don’t know what to do for others when they’re in distress.
I think everyone should have been put on this planet for my","I have no remorse for offending people.
I am not nice or considerate in my discussions.
People often tell me to “","I am critical and judgy about others.
Everyone else’s needs matter more than mine.
I don’t trust other people with my inner","I have trouble getting past the feeling of being angry.
It bothers me when people are nice to people I don’t like.
I have little","I like to be cruel.
I am often mean to people.
I like people better when they are feeling bad.
I do things to hurt the","People are always out to get me.
People don’t like me because I’m too good for them.
I’m better than","When I am upset, I use the situation as an excuse to yell at people.
I am more comfortable being by myself than with others.","I have no sympathy for others’ pain.
When I go to a party, I like to argue with people who disagree with me.
I like","I think I know more than those in authority over me.
I am often angry with God and complain about what He has done to me.
I","I think I’m more attractive than most people.
I think it is not my place to understand others’ problems.
I have contempt for","I have a hard time expressing my emotions.
I am afraid of expressing anger.
I find it very difficult to be angry.
I","I don’t like to give encouragements or compliments to people.
None of these are true of you?
Great. This means you probably","I don’t feel guilty about hurting other people.
I don’t like people who are nice to me.
I feel like people I like"
"I enjoy arguing with people and watching them lose control.
I enjoy provoking others to the point where they have a breakdown.
I enjoy making","I would describe myself as rude and antagonistic.
I have said and done things to others that were unnecessary and hurtful.
I tend to","Whether I like it or not, I tend to say mean or insulting things to others.
I like to be insulting or hurtful","I get satisfaction in seeing someone humiliated or defeated.
I find myself being sarcastic to others.
I get a good sense of power or","I find pleasure in hurting people’s feelings.
If I disagree with someone, I will keep arguing with them until I get my way.","I don’t mind hurting others for my own pleasure.
I don’t get depressed over others’ problems.
I don’t mind","I like to pick on people.
I like to play the role of the Devil’s Advocate.
I like to debate with others.","I think it would be interesting to be the center of attention in a large number of people.
I think that people only respect you if you disrespect","I think bullying helps build character.
I tend to get angry and argumentative with others easily.
I think that insulting someone will resolve a",I don’t care about other people’s feelings or what might be hurtful to say to them. I like to express my negative emotions in words,"I feel that I have the right to say or do whatever I want without regards to anyone else.
I feel that my needs have top priority no matter what","I enjoy fighting or arguing with others.
I feel comfortable being mean or insulting to others.
I’m cold to others’ emotional","I tend to use sarcasm too often.
I usually think about all the ways people can be wrong.
Why did you answer the yes or no","I tend to make sarcastic responses.
I usually enjoy being angry with others.
I usually hurt the people that care about me.
I usually","I like to hurt others through gossip, slander, and backbiting.
There was a time in my life that I sought to inj","People that I care about get hurt when I fight with others.
People that I care about get upset when I am argumentative.
I"
"I tend to be mean to people and take pleasure in doing it.
Other people’s feelings don’t matter to me.
People are like","I tend to enjoy making others lose their tempers.
I want people to think of me as being hard to approach.
I tell stories about others behind","It’s more fun not to care if others do or don’t like me.
People who don’t get along with others bring out the","Other people are more important than I am.
I do little things to get back at others.
Most of my thoughts are focused on myself.
","I tend to have a negative or critical attitude towards others.
I tend to say hurtful things that I know I should not have said yet I can’","I often talk badly about others behind their backs.
I often use my sarcasm to insult people.
I frequently try to offend others","I’ve hurt others in the past and enjoyed it.
I get angry much more easily than other people do.
I have a higher than average fr","I enjoy being disrespectful to others.
I tend to feel bored, restless or irritable when I am not interacting with others","Too much niceness is annoying.
I have little patience for the complaints of others.
Others have to be tough. Otherwise","I think life is mostly about achieving power and financial success.
I am quick to anger when disappointed.
A child who has experienced Adverse Child","How many statements did you choose? Do you have a tendency to avoid conflict at any expense, or do you enjoy being confrontational?
Do you","I think it's okay to physically fight to get your way.
I will do or say anything to win an argument.
I would say or","I like to tease, belittle, threaten, and humiliate others.
I think it is OK to be hurtful to annoying, off","I feel no pain when people I care for die or when I lose something I care about.
I feel like a burden to others.
I struggle","When people don’t agree with me, I become more frustrated the more they disagree with me.
I enjoy belittling or demean","I tend to enjoy making people angry.
I find it exciting to push or upset others.
I tend to see people who upset me as"
"It is easier to insult people than to be nice to them.
I always avoid taking responsibility for my actions or the results of my actions.
I","I enjoy making people’s problems worse.
I enjoy teasing people about things that make them uncomfortable.
I believe it is OK to","I tend to be argumentative and fight unnecessarily with others.
I tend to go to extremes in my responses to others.
I enjoy hurting","My friends would describe me as abrasive or arrogant.
There are times when I enjoy baiting or picking on other people.
","My feelings are mostly negative.
I am often envious of others.
I enjoy being provocative and creating turmoil.
I enjoy making fun","I find I get an excitement from making others upset or angry.
I sometimes think of hurting my partner or loved one.
I am quick to","I like to be sarcastic and I don’t care if my comments hurt others or not.
I like to make fun of others.
There","I feel no remorse when I feel people deserve punishment.
I am easily irritated by others.
I think I’m much","I feel guilty when people are kind to me.
I don’t take a break during my busy days.
I find it difficult to be self-","I can sometimes find ways to get even with people who irritate me.
I enjoy causing negative reactions in others.
I enjoy being mean,","I get a kick out of seeing others in pain or misfortune.
I would be happier if others could stop hanging around me.
I","I prefer to be mean to people than to be kind.
I enjoy being cruel to others.
People generally find me cold and distant.
Pe","I have friends that people may think are a bad influence.
I enjoy playing tricks or practical jokes on others.
I like to play mind games","If others are doing well, I feel worse than if they are doing badly.
This test will help you find out if you are a psychopath or","I think the world would be better if everybody could be dominated.
I like intimidating other people by showing how strong or tough I am","I always make fun of others.
If people get upset with me, I am satisfied.
I like when people are jealous of me and make"
"I really have more of a negative outlook on life than a positive outlook on life.
I am generally cranky and irritable more often","So, basically these types of things. I don’t know. I’m sure I forgot some things.
I’ve always been told I’","I take pleasure in embarrassing others.
I tend to push others by making fun of them or their ideas.
I do things purely to annoy","I enjoy embarrassing or making fun of others.
I tend to find more pleasure in punishing others than praising them.
If you answered “","I like when others get upset because of something I said or did.
I’m proud of being a bully.
Others think I can","People tell me to “lighten up,” “stop taking things so seriously,” or “stop worrying.”
I am very judgmental of others.","I get some strange satisfaction from insulting other people.
I am usually the first person to get into an argument with others.
Others find me","I sometimes want to see people get into physical fights.
I have little sympathy for others.
I’m just interested in fulfilling my own","I like to take advantage of others.
I take pleasure in demeaning and making fun of others.
I enjoy getting revenge.
I like","I don’t generally try to avoid offending others.
If I think a person is wrong or stupid about something, I just let them know in no","I often take advantage of others.
I have little consideration for other people’s schedules.
People generally find me to be difficult to please.","Other people tend to think I’m mean because I don’t consider their feelings or apologize for my actions as much as others do.
I’","I enjoy making others feel bad.
I generally tend to be sarcastic with people.
I enjoy making others look stupid.
When someone is ups","I tend to try to make others feel bad by telling them about my problems.
I like to make fun of others.
I get some satisfaction in hur","I enjoy saying rude things to others.
I am not afraid to hurt the feelings of others.
I take perverse pride in being cruel to others","I get a kick out of watching others squirm or struggle.
I get my kicks by putting people down or insulting them.
I always"
"I don’t like to get too emotionally attached to people.
I don’t really care what others think of me.
It’s","I enjoy inflicting pain on others.
I enjoy insulting others.
I find bullies amusing and interesting people.
I enjoy making","I enjoy causing others distress or unease.
Social competence involves the ability to navigate emotional experiences in social interactions: emotional regulation involves","I hate giving in to other people.
I can be cold, distant, and unresponsive with others.
I can be cold and insensitive","People often feel intimidated by me.
I am not afraid to offend others.
I am not very sensitive to the feelings of others","I am easily insulted by others.
I feel good inside when another person is in pain.
I feel good inside when I know someone is suffering","I tend to have people in my life who tolerate my behavior, but don’t seem to like me.
I don’t want close relationships with","I am often accused of being an angry person.
When I get angry, I usually yell or scream at the person I’m angry with.","I often lash out at people when I get angry.
People find me insulting.
People generally avoid me.
People consider","I am generally easily upset and am very sensitive to the comments and behaviors of others.
I tend to feel frustrated with people on a very","I feel bad when doing something wrong.
I can be generous and care for others.
I worry often and worry about things that often never happen.","I make life miserable for others.
People usually avoid me.
Sometimes I get angry at myself.
Sometimes I hate myself.
","When people are mad at me, I am angry at them.
I have few close relationships and prefer to spend most time alone.
I do not think"," I really dislike being criticized for something I did or for who I am.
Please answer the question before submitting the survey.</s><unk><unk><unk>","Braggadocio:
A tendency to feel and act superior to others.
Being mean:
“My girlfriend is mean to me","I’m pretty unpleasant to be around.
People don’t like being around me.
I’m always angry about something.
"
